Date,PNL (OX),OX Balance,OX Value (USD),OX Perps Volume,Fees
2025-02-25,"+157,992,236","3,378,962,974","23,313,795.82","17,006,377,830",0
2025-02-24,"-107,961,261","3,294,497,393","28,396,998.88","6,927,440,145",0
2025-02-23,"-8,662,877","3,242,664,328","42,942,024.39","2,695,910,517",0
2025-02-22,"-57,978,381","3,185,834,064","43,240,782.73","11,678,070,741",0
2025-02-21,"+102,688,484","3,058,362,614","44,047,609.68","11,028,672,453",0
2025-02-20,"-32,322,640","3,043,096,478","38,558,607.08","6,595,792,121",0
2025-02-19,"-19,315,176","3,054,985,189","37,205,245.08","8,523,129,232",0
2025-02-18,"+49,633,768","3,056,707,817","38,637,835.20","6,702,901,472",0
2025-02-17,"-28,088,599","3,015,547,537","44,114,673.91","4,687,614,533",0
2025-02-16,"+39,654,618","3,000,087,940","46,949,626.04","3,319,141,723",0
2025-02-15,"+9,918,777","2,976,779,191","48,368,179.92","8,081,207,170",0
2025-02-14,"-74,850,035","2,976,407,822","49,894,568.52","8,242,713,249",0
2025-02-13,"+41,198,825","3,031,751,163","51,211,215.56","13,242,012,316",0
2025-02-12,"-82,903,647","3,056,782,070","52,017,605.92","11,253,651,692",0
2025-02-11,"+39,562,124","2,960,331,559","54,327,317.86","11,731,060,057",0
2025-02-10,"-48,628,560","2,889,559,416","56,057,025.25","16,213,623,731",0
2025-02-09,"-16,858,057","2,928,828,079","60,408,484.56","7,020,981,651",0
2025-02-08,"-52,560,831","2,961,602,669","61,167,593.85","30,503,581,098",0
2025-02-07,"+20,095,660","2,954,312,768","61,508,668.89","28,632,359,429",0
2025-02-06,"+16,042,296","2,949,968,927","60,667,539.72","20,570,928,402",0
2025-02-05,"-35,900,552","2,970,027,478","62,817,283.93","33,204,648,599",0
2025-02-04,"+9,672,272","3,162,082,689","69,571,295.89","44,793,260,327",0
2025-02-03,"-55,604,543","3,243,154,963","70,287,942.42","41,955,310,300",0
2025-02-02,"+99,804,125","3,130,258,083","60,977,560.72","24,965,551,710",0
2025-02-01,"+186,083,320","2,961,258,666","62,407,163.13","17,822,831,618",0
2025-01-31,"+29,730,375","2,876,760,292","60,448,023.72","8,802,391,757",0
2025-01-30,"-78,124,619","2,907,320,223","61,801,359.58","13,586,427,927",0
2025-01-29,"-82,846,100","3,010,023,563","64,504,644.54","20,371,014,991",0
2025-01-28,"+33,770,089","2,985,115,408","67,358,953.38","32,955,815,985",0
2025-01-27,"-15,484,006","3,040,089,185","65,587,707.30","27,674,250,853",0
2025-01-26,"+35,782,766","3,000,284,478","67,154,741.28","4,834,456,636",0
2025-01-25,"-18,365,432","3,016,572,914","71,186,657.86","7,747,665,693",0
2025-01-24,"+12,800,370","2,983,145,503","71,925,229.49","20,828,622,861",0
2025-01-23,"-2,168,932","3,024,441,738","69,864,434.76","16,769,920,948",0
2025-01-22,"-61,879,565","3,000,946,176","70,035,006.07","16,383,749,058",0
2025-01-21,"-41,028,795","3,087,430,159","71,186,054.26","46,630,676,900",0
2025-01-20,"-41,075,642","3,089,942,824","74,994,734.74","53,994,464,477",0
2025-01-19,"+3,447,486","3,064,195,654","74,750,515.94","19,872,121,295",0
2025-01-18,"+94,765,834","3,126,617,199","68,518,813.30","18,289,023,711",0
2025-01-17,"-67,891,608","3,090,887,811","60,477,801.41","26,820,668,170",0
2025-01-16,"+47,741,519","3,125,215,237","60,703,304.85","24,991,911,572",0
2025-01-15,"-147,572,421","3,180,810,514","59,461,941.30","20,666,507,812",0
2025-01-14,"-89,329,627","3,261,729,882","62,333,704.25","20,717,676,821",0
2025-01-13,"-24,416,397","3,387,284,051","60,270,511.74","17,530,882,608",0
2025-01-12,"+28,561,438","3,300,387,027","67,299,441.56","5,765,716,842",0
2025-01-11,"-21,751,876","3,311,163,673","72,185,155.35","18,413,403,419",0
2025-01-10,"-59,524,410","3,304,979,027","74,837,571.16","26,540,780,616",0
2025-01-09,"+121,718,444","3,306,789,504","74,627,495.98","30,123,151,845",0
2025-01-08,"+46,157,112","3,274,891,517","79,599,039.23","38,475,406,711",0
2025-01-07,"+96,308,661","3,205,266,452","82,972,059.60","23,590,902,888",0
2025-01-06,"-29,986,875","3,166,311,557","84,621,131.77","11,494,066,105",0
2025-01-05,"+550,052","3,204,039,120","85,562,478.82","7,138,077,330",0
2025-01-04,"+1,493,446","3,189,808,451","85,437,806.76","12,132,215,133",0
2025-01-03,"-83,871,545","3,296,798,992","89,935,125.90","17,476,041,229",0
2025-01-02,"-92,381,475","3,327,386,632","93,666,228.93","14,362,041,857",0
2025-01-01,"-53,039,044","3,424,855,593","91,082,686.27","13,363,557,541",0
2024-12-31,"-10,719,165","3,430,733,177","88,361,911.89","18,087,577,342",0
2024-12-30,"-7,874,427","3,433,881,695","89,674,502.81","18,014,063,156",0
2024-12-29,"+98,037,054","3,393,064,997","87,229,138.85","8,020,857,321",0
2024-12-28,"-58,058,887","3,385,845,844","83,953,832.80","10,605,117,058",0
2024-12-27,"+18,566,665","3,299,732,913","85,784,179.35","14,882,936,278",0
2024-12-26,"+85,941,862","3,252,566,428","86,891,278.36","15,025,550,990",0
2024-12-25,"+3,530,678","3,192,103,511","91,216,548.35","15,308,336,746",0
2024-12-24,"-51,835,593","3,240,966,543","90,705,389.10","20,536,017,886",0
2024-12-23,"-71,392,367","3,296,839,622","88,927,374.59","23,387,042,811",0
2024-12-22,"+40,410,530","3,273,382,363","87,463,817.34","14,849,077,697",0
2024-12-21,"+65,891,082","3,173,088,044","84,200,358.29","38,915,955,207",0
2024-12-20,"-15,070,940","3,242,126,483","76,487,959.74","107,699,342,412",0
2024-12-19,"+91,445,967","3,137,576,608","76,369,363.43","50,748,771,877",0
2024-12-18,"+52,649,670","3,093,723,795","86,515,679.83","10,115,828,177",0
2024-12-17,"+14,627,149","3,047,770,273","88,779,280.20","7,238,276,321",0
2024-12-16,"-9,534,060","3,095,363,375","85,423,468.14","7,244,571,904",0
2024-12-15,"-15,181,066","3,121,806,582","74,687,253.37","7,845,970,310",0
2024-12-14,"+35,276,424","3,105,985,560","70,745,028.03","11,876,237,921",0
2024-12-13,"-28,646,847","3,076,469,400","69,735,513.00","17,644,810,493",0
2024-12-12,"-2,632,347","2,991,441,402","76,812,564.99","20,080,330,633",0
2024-12-11,"-122,077,896","3,122,110,955","77,259,904.52","42,696,522,364",0
2024-12-10,"-41,811,905","3,675,270,103","84,829,708.29","53,948,893,899",0
2024-12-09,"+584,121,953","3,320,639,909","88,523,108.85","20,694,147,438",0
2024-12-08,"-10,527,368","3,112,297,890","95,929,959.78","9,919,197,439",0
2024-12-07,"+30,351,425","3,107,093,025","96,779,031.00","16,561,206,091",0
2024-12-06,"-239,905,301","3,148,583,228","100,412,348.70","45,452,061,447",0
2024-12-05,"+160,577,620","3,114,893,051","103,499,141.82","25,130,204,682",0
2024-12-04,"-60,156,285","3,189,297,050","91,016,197.86","16,823,470,074",0
2024-12-03,"-37,996,697","3,241,643,431","82,049,633.45","16,816,540,246",0
2024-12-02,"+55,145,827","3,236,448,565","86,265,406.93","11,010,612,948",0
2024-12-01,"-875,757","3,187,563,444","84,172,859.98","6,893,378,182",0
2024-11-30,"-3,914,954","3,111,554,570","72,151,994.00","10,490,478,143",0
2024-11-29,"-34,171,888","3,065,178,083","63,809,601.93","11,258,605,423",0
2024-11-28,"+109,237,972","2,998,446,670","58,976,137.45","15,035,622,165",0
2024-11-27,"-363,364,953","3,012,857,032","56,969,275.36","21,277,065,549",0
2024-11-26,"+151,868,897","3,105,412,181","46,339,877.18","29,923,465,242",0
2024-11-25,"+88,056,800","2,937,921,513","41,942,073.83","13,479,169,446",0
2024-11-24,"+53,512,436","2,929,361,757","41,772,885.29","4,355,652,312",0
2024-11-23,"-16,745,970","2,916,165,805","39,544,281.52","9,418,774,508",0
2024-11-22,"+100,560,476","3,024,249,320","38,809,897.13","20,848,098,357",0
2024-11-21,"-161,538,197","3,004,877,571","33,279,582.27","28,410,994,511",0
2024-11-20,"+32,511,978","3,059,558,585","33,107,532.39","24,702,181,836",0
2024-11-19,"+136,016,218","2,954,792,333","32,490,555.91","21,965,517,874",0
2024-11-18,"-22,898,842","2,844,498,292","28,639,839.69","19,470,885,139",0
2024-11-17,"+128,178,686","2,766,836,300","25,692,847.41","14,698,688,566",0
2024-11-16,"+72,051,716","2,684,373,464","25,415,487.37","12,983,041,297",0
2024-11-15,"-107,049,491","2,751,772,572","25,767,295.50","21,428,562,050",0
2024-11-14,"+18,481,171","2,576,329,442","25,406,632.23","29,448,774,353",0
2024-11-13,"-26,168,299","2,720,996,633","27,769,995.44","30,492,363,415",0
2024-11-12,"-20,523,163","2,713,649,129","30,165,915.57","28,600,225,518",0
2024-11-11,"-213,458,316","2,819,008,016","32,336,188.86","14,008,615,900",0
2024-11-10,"-79,511,059","2,922,949,903","34,146,149.84","6,401,869,962",0
2024-11-09,"-30,217,737","2,819,911,249","31,229,032.90","6,514,279,801",0
2024-11-08,"+23,770,100","2,761,295,987","30,461,508.58","6,975,581,988",0
2024-11-07,"+36,729,002","2,735,726,147","31,247,281.76","11,293,868,935",0
2024-11-06,"-247,404,180","2,783,637,701","29,933,947.46","25,559,769,635",0
2024-11-05,"-93,438,700","2,962,817,744","27,733,412.47","11,122,133,822",0
2024-11-04,"+60,319,114","2,972,582,958","23,551,197.96","7,877,617,286",0
2024-11-03,"+27,566,805","2,971,422,412","23,744,347.73","5,699,611,038",0
2024-11-02,"+27,750,646","2,915,440,306","23,279,339.46","6,836,664,110",0
2024-11-01,"+22,661,438","2,890,617,635","23,449,263.84","9,246,606,016",0
2024-10-31,"+56,522,394","2,850,625,760","24,547,443.48","5,873,835,061",0
2024-10-30,"+30,044,605","2,812,699,734","24,644,409.94","9,279,000,124",0
2024-10-29,"-35,437,142","2,810,045,739","24,078,146.91","11,117,996,207",0
2024-10-28,"-44,183,847","2,891,464,115","22,850,331.49","6,835,416,438",0
2024-10-27,"-21,124,089","2,915,561,541","23,073,133.82","4,699,989,846",0
2024-10-26,"-13,964,675","2,916,290,464","22,663,390.50","17,128,579,278",0
2024-10-25,"+47,260,948","2,900,181,827","22,866,900.83","8,730,155,070",0
2024-10-24,"-14,140,010","2,879,471,906","19,434,320.61","10,036,555,322",0
2024-10-23,"+68,193,893","2,880,112,973","19,803,247.93","7,636,090,654",0
2024-10-22,"+7,601,749","2,844,829,218","20,297,477.44","6,743,994,054",0
2024-10-21,"+76,350,495","2,788,878,941","21,037,138.60","5,374,567,914",0
2024-10-20,"-82,085,023","2,800,627,736","22,433,091.83","2,284,160,336",0
2024-10-19,"+35,668,898","2,819,768,494","22,980,024.73","3,272,800,063",0
2024-10-18,"-32,743,142","2,797,421,408","22,578,973.29","6,851,466,984",0
2024-10-17,"+6,461,597","2,836,342,639","22,526,048.74","7,215,304,010",0
2024-10-16,"-19,940,154","2,836,151,345","20,255,527.65","14,589,621,103",0
2024-10-15,"+22,730,412","2,835,900,935","18,149,818.09","13,305,977,248",0
2024-10-14,"-36,029,862","2,828,672,863","18,731,253.59","10,853,664,880",0
2024-10-13,"-751,619","2,865,681,622","18,303,203.77","5,701,577,763",0
2024-10-12,"-42,820,947","2,886,703,783","17,271,597.74","8,238,464,453",0
2024-10-11,"-113,321,168","2,956,353,278","16,840,787.45","16,030,972,171",0
2024-10-10,"+8,447,277","3,001,090,125","17,516,760.58","17,261,310,658",0
2024-10-09,"+67,082,272","2,944,754,716","18,650,567.60","12,699,550,212",0
2024-10-08,"-58,485,365","2,976,216,937","17,994,758.98","16,907,738,927",0
2024-10-07,"-65,030,259","2,997,144,571","18,273,097.43","11,409,500,676",0
2024-10-06,"-54,458,149","3,090,363,548","18,515,654.71","4,222,254,523",0
2024-10-05,"+8,049,215","3,109,666,203","18,105,719.01","9,600,331,488",0
2024-10-04,"-93,912,056","3,152,737,642","15,441,016.33","22,395,630,152",0
2024-10-03,"+19,167,817","3,202,663,030","17,066,535.76","29,654,138,133",0
2024-10-02,"+45,554,801","3,129,133,551","17,551,623.56","29,388,816,455",0
2024-10-01,"+52,161,261","3,084,420,864","18,203,689.68","10,974,342,364",0
2024-09-30,"+5,843,186","3,082,655,063","16,928,143.42","5,031,119,928",0
2024-09-29,"-25,155,265","3,101,590,512","16,107,071.85","2,435,478,282",0
2024-09-28,"-4,303,913","3,113,128,462","17,303,269.68","3,443,605,011",0
2024-09-27,"+4,328,931","3,105,828,113","16,134,111.99","7,943,192,265",0
2024-09-26,"-9,059,253","3,105,441,762","15,804,808.15","5,895,156,214",0
2024-09-25,"-8,759,340","3,120,253,362","16,514,479.78","6,598,572,561",0
2024-09-24,"+3,167,107","3,122,380,881","19,343,269.89","7,596,972,071",0
2024-09-23,"-11,917,869","3,125,343,695","20,334,123.02","9,313,637,325",0
2024-09-22,"+1,320,393","3,129,289,893","21,278,148.50","3,855,403,148",0
2024-09-21,"+1,985,360","3,133,810,114","19,978,092.34","8,214,785,130",0
2024-09-20,"-4,948,218","3,130,339,301","18,821,451.75","13,257,035,405",0
2024-09-19,"-54,087,171","3,145,808,166","17,776,416.78","21,370,944,666",0
2024-09-18,"-23,244,496","2,557,754,242","14,384,937.20","18,687,993,722",0
2024-09-17,"-53,818,811","1,965,363,664","13,143,649.18","14,071,196,025",0
2024-09-16,"+29,627,271","1,882,747,935","13,765,178.19","13,770,863,890",0
2024-09-15,"+25,387,920","1,644,855,218","12,865,711.90","4,645,485,706",0
2024-09-14,"+4,728,181","1,641,944,427","12,686,265.05","10,559,556,253",0
2024-09-13,"-41,447,166","1,670,168,521","12,695,098.41","9,969,827,029",0
2024-09-12,"-29,371,930","1,687,986,574","11,671,035.45","12,201,296,703",0
2024-09-11,"+15,901,446","1,704,724,336","9,889,409.60","11,099,513,723",0
2024-09-10,"-23,214,496","1,691,131,076","8,451,378.74","8,022,166,917",0
2024-09-09,"-102,294,969","1,746,881,025","6,959,755.99","6,202,980,341",0
2024-09-08,"-40,307,659","1,800,022,993","6,084,379.82","2,638,218,987",0
2024-09-07,"-31,274,786","1,808,465,044","5,704,165.28","9,081,780,766",0
2024-09-06,"+130,770,916","1,504,658,502","5,146,939.96","5,638,041,273",0
2024-09-05,"+69,383,426","1,401,737,025","5,398,345.73","2,341,560,515",0
2024-09-04,"-18,701,309","1,401,804,175","5,704,403.58","1,992,101,492",0
2024-09-03,"+57,139,564","1,351,262,050","5,810,522.89","1,146,144,328",0
2024-09-02,"-81,948,008","1,365,717,061","5,946,145.79","1,239,189,114",0
2024-09-01,"+64,569,172","1,365,408,936","5,769,784.15","1,018,281,073",0
2024-08-31,"+9,281,780","1,338,411,433","5,166,029.26","1,798,045,185",0
2024-08-30,"-5,454,517","1,343,283,208","5,039,246.16","1,593,530,897",0
2024-08-29,"+2,173,818","1,324,697,169","5,343,734.97","2,696,975,566",0
2024-08-28,"-21,562,396","1,279,469,257","5,377,302.33","2,037,200,128",0
2024-08-27,"+87,223,130","1,088,769,678","4,493,920.16","216,725,104",0
2024-08-26,"+34,256,269","1,053,973,639","4,211,466.88","125,528,402",0
2024-08-25,"-6,155,359","1,043,395,526","3,955,323.73","192,727,537",0
2024-08-24,"+810,606","1,040,824,764","4,126,454.35","1,132,338,310",0
2024-08-23,"-71,843,566","1,084,467,802","4,511,066.56","1,707,116,510",0
2024-08-22,"+6,943,534","1,111,617,153","4,875,901.28","1,316,642,105",0
2024-08-21,"-27,803,336","1,127,788,241","4,944,148.36","902,905,165",0
2024-08-20,"-6,869,724","1,121,206,757","5,135,463.74","681,686,514",0
2024-08-19,"+6,662,999","1,144,165,347","5,347,526.71","138,020,889",0
2024-08-18,"-4,637,061","1,125,687,680","5,111,447.94","573,446,813",0
2024-08-17,"-8,668,069","1,135,096,187","4,988,739.08","927,541,143",0
2024-08-16,"-109,276","1,099,370,873","4,755,471.52","1,304,340,938",0
2024-08-19,"+6,662,999","1,144,165,347","5,347,526.71","138,020,889",0
2024-08-18,"-4,637,061","1,125,687,680","5,111,447.94","573,446,813",0
2024-08-17,"-8,668,069","1,135,096,187","4,988,739.08","927,541,143",0
2024-08-16,"-109,276","1,099,370,873","4,755,471.52","1,304,340,938",0
